encounter_class	cost_rank	procedure_description	procedure_count	average_base_cost	total_base_cost
ambulatory	1	Appendectomy	486	8743.39	4249285.21
ambulatory	2	Colonoscopy	512	2083.89	1066953.89
ambulatory	3	Renal dialysis	417	1214.57	506475.45
ambulatory	4	Blood transfusion	482	954.02	459837.72
ambulatory	5	Suture laceration	484	431.08	208640.92
emergency	1	Appendectomy	53	9051.64	479737.03
emergency	2	Colonoscopy	59	1984.40	117079.70
emergency	3	Renal dialysis	62	1206.93	74829.42
emergency	4	Blood transfusion	72	945.29	68060.82
emergency	5	Suture laceration	59	446.88	26366.07
inpatient	1	Appendectomy	33	8591.29	283512.56
inpatient	2	Colonoscopy	35	2107.21	73752.52
inpatient	3	Renal dialysis	36	1216.77	43803.89
inpatient	4	Blood transfusion	40	970.90	38835.87
inpatient	5	Suture laceration	34	445.77	15156.24
outpatient	1	Appendectomy	240	8782.82	2107877.10
outpatient	2	Colonoscopy	230	2064.65	474869.88
outpatient	3	Renal dialysis	234	1207.99	282670.59
outpatient	4	Blood transfusion	252	961.26	242236.93
outpatient	5	Suture laceration	263	422.26	111053.91
urgentcare	1	Appendectomy	154	8708.83	1341160.18
urgentcare	2	Colonoscopy	165	2091.80	345146.64
urgentcare	3	Renal dialysis	151	1158.07	174868.17
urgentcare	4	Blood transfusion	136	957.74	130252.45
urgentcare	5	Suture laceration	138	427.22	58955.95
wellness	1	Appendectomy	109	8464.87	922670.34
wellness	2	Colonoscopy	109	2010.47	219140.99
wellness	3	Blood transfusion	111	955.63	106074.68
wellness	4	Renal dialysis	90	1157.70	104193.12
wellness	5	Wound care	114	349.71	39867.07
payer_name	encounter_count	total_claim_cost	claim_rank	share_of_total_pct
Dual Eligible	993	1852889.81	1	14.34
NO_INSURANCE	911	1716222.01	2	13.29
Cigna	690	1289997.08	3	9.99
UnitedHealthcare	702	1279413.59	4	9.90
Medicaid	574	1192957.92	5	9.24
Blue Cross Blue Shield	684	1187354.77	6	9.19
Anthem	684	1156270.40	7	8.95
Humana	622	1124764.69	8	8.71
Medicare	600	1051177.17	9	8.14
Aetna	665	1014769.23	10	7.86
NULL	35	51456.87	11	0.40
month_start	encounter_count	monthly_claim_cost	cumulative_claim_cost	previous_month_encounters	encounter_change	moving_avg_3_months
2014-05-01	90	103800.65	7727389.17	110	-20	106.3
2014-06-01	94	152220.03	7879609.20	90	4	98.0
2014-07-01	87	119394.92	7999004.12	94	-7	90.3
2014-08-01	86	232326.30	8231330.42	87	-1	89.0
2014-09-01	78	182159.85	8413490.27	86	-8	83.7
2014-10-01	75	114603.38	8528093.65	78	-3	79.7
2014-11-01	80	156642.48	8684736.13	75	5	77.7
2014-12-01	96	109062.10	8793798.23	80	16	83.7
2015-01-01	66	101329.22	8895127.45	96	-30	80.7
2015-02-01	63	84973.75	8980101.20	66	-3	75.0
2015-03-01	69	172284.86	9152386.06	63	6	66.0
2015-04-01	73	82834.87	9235220.93	69	4	68.3
2015-05-01	66	172240.49	9407461.42	73	-7	69.3
2015-06-01	54	47830.86	9455292.28	66	-12	64.3
2015-07-01	47	96116.34	9551408.62	54	-7	55.7
2015-08-01	54	74559.26	9625967.88	47	7	51.7
2015-09-01	55	114158.73	9740126.61	54	1	52.0
2015-10-01	63	72236.52	9812363.13	55	8	57.3
2015-11-01	47	79551.00	9891914.13	63	-16	55.0
2015-12-01	44	116807.90	10008722.03	47	-3	51.3
2016-01-01	54	83494.24	10092216.27	44	10	48.3
2016-02-01	57	103874.12	10196090.39	54	3	51.7
2016-03-01	38	49444.62	10245535.01	57	-19	49.7
2016-04-01	36	21292.24	10266827.25	38	-2	43.7
2016-05-01	42	60847.84	10327675.09	36	6	38.7
2016-06-01	54	130162.26	10457837.35	42	12	44.0
2016-07-01	41	49770.58	10507607.93	54	-13	45.7
2016-08-01	32	108784.25	10616392.18	41	-9	42.3
2016-09-01	32	28929.96	10645322.14	32	0	35.0
2016-10-01	44	119117.78	10764439.92	32	12	36.0
2016-11-01	33	40759.86	10805199.78	44	-11	36.3
2016-12-01	40	92686.06	10897885.84	33	7	39.0
2017-01-01	36	98039.21	10995925.05	40	-4	36.3
2017-02-01	37	37248.48	11033173.53	36	1	37.7
2017-03-01	45	138989.61	11172163.14	37	8	39.3
2017-04-01	37	79448.55	11251611.69	45	-8	39.7
2017-05-01	33	32240.65	11283852.34	37	-4	38.3
2017-06-01	29	46144.32	11329996.66	33	-4	33.0
2017-07-01	35	42423.44	11372420.10	29	6	32.3
2017-08-01	31	98470.44	11470890.54	35	-4	31.7
2017-09-01	30	30412.94	11501303.48	31	-1	32.0
2017-10-01	28	30711.54	11532015.02	30	-2	29.7
2017-11-01	16	41760.07	11573775.09	28	-12	24.7
2017-12-01	23	42909.06	11616684.15	16	7	22.3
2018-01-01	30	84788.80	11701472.95	23	7	23.0
2018-02-01	26	22272.56	11723745.51	30	-4	26.3
2018-03-01	23	25397.15	11749142.66	26	-3	26.3
2018-04-01	27	24621.29	11773763.95	23	4	25.3
2018-05-01	18	23875.49	11797639.44	27	-9	22.7
2018-06-01	21	102753.66	11900393.10	18	3	22.0
2018-07-01	17	29407.28	11929800.38	21	-4	18.7
2018-08-01	23	47953.16	11977753.54	17	6	20.3
2018-09-01	30	54930.35	12032683.89	23	7	23.3
2018-10-01	16	46994.15	12079678.04	30	-14	23.0
2018-11-01	16	12738.25	12092416.29	16	0	20.7
2018-12-01	14	46681.84	12139098.13	16	-2	15.3
2019-01-01	15	17201.95	12156300.08	14	1	15.0
2019-02-01	15	22495.58	12178795.66	15	0	14.7
2019-03-01	20	78652.08	12257447.74	15	5	16.7
2019-04-01	8	12928.44	12270376.18	20	-12	14.3
2019-05-01	11	12104.91	12282481.09	8	3	13.0
2019-06-01	7	16065.11	12298546.20	11	-4	8.7
2019-07-01	7	4998.46	12303544.66	7	0	8.3
2019-08-01	18	21149.23	12324693.89	7	11	10.7
2019-09-01	15	15844.70	12340538.59	18	-3	13.3
2019-10-01	20	16367.60	12356906.19	15	5	17.7
2019-11-01	13	16023.75	12372929.94	20	-7	16.0
2019-12-01	12	7845.12	12380775.06	13	-1	15.0
2020-01-01	9	43412.81	12424187.87	12	-3	11.3
2020-02-01	16	39114.94	12463302.81	9	7	12.3
2020-03-01	16	45094.40	12508397.21	16	0	13.7
2020-04-01	14	26810.25	12535207.46	16	-2	15.3
2020-05-01	11	12089.38	12547296.84	14	-3	13.7
2020-06-01	6	3305.66	12550602.50	11	-5	10.3
2020-07-01	6	5884.35	12556486.85	6	0	7.7
2020-08-01	9	13624.05	12570110.90	6	3	7.0
2020-09-01	8	10686.77	12580797.67	9	-1	7.7
2020-10-01	9	54458.24	12635255.91	8	1	8.7
2020-11-01	8	6687.99	12641943.90	9	-1	8.3
2020-12-01	7	28175.18	12670119.08	8	-1	8.0
2021-01-01	10	20815.51	12690934.59	7	3	8.3
2021-02-01	7	49194.16	12740128.75	10	-3	8.0
2021-03-01	9	8553.51	12748682.26	7	2	8.7
2021-04-01	10	35334.06	12784016.32	9	1	8.7
2021-05-01	4	2805.59	12786821.91	10	-6	7.7
2021-06-01	4	4383.64	12791205.55	4	0	6.0
2021-07-01	2	1064.29	12792269.84	4	-2	3.3
2021-08-01	5	5647.77	12797917.61	2	3	3.7
2021-09-01	9	14798.63	12812716.24	5	4	5.3
2021-10-01	6	8471.47	12821187.71	9	-3	6.7
2021-11-01	6	11191.41	12832379.12	6	0	7.0
2021-12-01	6	11319.07	12843698.19	6	0	6.0
2022-01-01	3	4008.39	12847706.58	6	-3	5.0
2022-02-01	2	1737.38	12849443.96	3	-1	3.7
2022-03-01	5	27392.22	12876836.18	2	3	3.3
2022-04-01	1	740.25	12877576.43	5	-4	2.7
2022-05-01	6	18737.13	12896313.56	1	5	4.0
2022-06-01	4	3561.57	12899875.13	6	-2	3.7
2022-07-01	3	2208.54	12902083.67	4	-1	4.3
2022-08-01	4	4459.63	12906543.30	3	1	3.7
2022-09-01	1	277.68	12906820.98	4	-3	2.7
2022-10-01	3	5184.20	12912005.18	1	2	2.7
2022-11-01	2	2730.79	12914735.97	3	-1	2.0
2022-12-01	5	2537.57	12917273.54	2	3	3.3
spend_quartile	patient_count	min_spend	max_spend	avg_encounters	quartile_total	share_of_total_pct
1	100	873.43	7873.91	4.9	468573.16	3.63
2	100	7970.93	20706.80	10.7	1347673.70	10.43
3	99	20766.17	42200.73	17.1	3096395.72	23.97
4	99	42425.57	195097.42	39.6	8004630.96	61.97
cohort_year	cohort_patients	years_since_first	active_patients	retention_pct
2011	137	0	137	100.0
2011	137	1	107	78.1
2011	137	2	65	47.4
2011	137	3	37	27.0
2011	137	4	24	17.5
2011	137	5	20	14.6
2012	157	0	157	100.0
2012	157	1	113	72.0
2012	157	2	63	40.1
2012	157	3	37	23.6
2012	157	4	26	16.6
2012	157	5	16	10.2
2013	102	0	102	100.0
2013	102	1	77	75.5
2013	102	2	50	49.0
2013	102	3	32	31.4
2013	102	4	23	22.5
2013	102	5	16	15.7
2014	2	0	2	100.0
2014	2	1	2	100.0
gap_bucket	encounter_count	average_gap_days	share_pct
0-7 days	963	4.7	14.37
8-30 days	2914	17.5	43.47
31-90 days	2044	52.0	30.49
91-365 days	737	154.4	11.00
> 365 days	45	482.5	0.67
